,month,handle,revenue,hold,taxes
0,2018-06-01,"$309,695,659.00","$24,630,915.00",8.00%,"$2,221,650.00"
1,2018-07-01,"$294,006,820.00","$8,433,994.00",2.90%,"$926,804.00"
2,2018-08-01,"$359,275,692.00","$23,625,881.00",6.60%,"$2,524,419.00"
3,2018-09-01,"$817,681,310.00","$95,358,434.00",11.70%,"$12,245,073.00"
4,2018-10-01,"$854,014,077.00","$45,832,391.00",5.40%,"$5,217,752.00"
5,2018-11-01,"$996,071,884.00","$54,349,323.00",5.50%,"$6,272,898.00"
6,2018-12-01,"$990,933,059.00","$82,266,923.00",8.30%,"$11,262,831.00"
7,2019-01-01,"$1,002,092,655.00","$43,052,327.00",4.30%,"$6,529,559.00"
8,2019-02-01,"$881,756,490.00","$51,972,715.00",5.90%,"$4,515,655.00"
9,2019-03-01,"$1,095,599,580.00","$79,856,363.00",7.30%,"$10,746,670.00"
10,2019-04-01,"$731,628,959.00","$52,524,099.00",7.20%,"$7,496,899.00"
11,2019-05-01,"$724,074,602.00","$32,939,800.00",4.50%,"$4,843,870.00"
12,2019-06-01,"$685,786,299.00","$34,150,011.00",5.00%,"$4,727,521.00"
13,2019-07-01,"$581,017,296.00","$37,075,760.00",6.40%,"$5,068,934.00"
14,2019-08-01,"$750,692,735.00","$62,738,953.00",8.40%,"$8,243,580.00"
15,2019-09-01,"$1,381,692,847.00","$143,317,497.00",10.40%,"$21,232,130.00"
16,2019-10-01,"$1,559,104,891.00","$155,108,642.00",9.90%,"$22,455,266.00"
17,2019-11-01,"$1,877,044,887.00","$113,770,997.00",6.10%,"$18,117,771.00"
18,2019-12-01,"$1,870,346,374.00","$114,143,414.00",6.10%,"$17,343,390.00"
19,2020-01-01,"$1,800,052,757.00","$139,845,880.00",7.80%,"$24,031,829.00"
20,2020-02-01,"$1,731,395,665.00","$84,328,330.00",4.90%,"$10,269,809.00"
21,2020-03-01,"$612,379,377.00","$35,297,033.00",5.80%,"$6,971,328.00"
22,2020-04-01,"$167,875,839.00","$9,762,318.00",5.80%,"$2,025,900.00"
23,2020-05-01,"$315,226,816.00","$25,350,115.00",8.00%,"$4,337,748.00"
24,2020-06-01,"$447,471,765.00","$29,732,415.00",6.60%,"$5,615,159.00"
25,2020-07-01,"$906,977,542.00","$72,384,321.00",8.00%,"$10,714,112.00"
26,2020-08-01,"$2,191,669,452.00","$129,761,682.00",5.90%,"$19,172,265.00"
27,2020-09-01,"$2,875,270,552.00","$156,615,169.00",5.40%,"$20,297,227.00"
28,2020-10-01,"$3,276,726,385.00","$291,317,909.00",8.90%,"$46,312,442.00"
29,2020-11-01,"$3,484,288,518.00","$309,007,013.00",8.90%,"$52,721,047.00"
30,2020-12-01,"$3,797,269,693.00","$277,472,250.00",7.30%,"$44,608,020.00"
31,2021-01-01,"$4,370,440,098.00","$378,653,248.00",8.70%,"$54,734,427.00"
32,2021-02-01,"$4,013,657,606.00","$225,993,459.00",5.60%,"$30,315,399.00"
33,2021-03-01,"$4,629,130,324.00","$357,366,025.00",7.70%,"$46,072,780.00"
34,2021-04-01,"$3,703,934,150.00","$283,202,902.00",7.60%,"$40,985,450.00"
35,2021-05-01,"$3,714,799,742.00","$273,387,615.00",7.40%,"$40,128,243.00"
36,2021-06-01,"$3,676,060,695.00","$335,906,085.00",9.10%,"$49,792,686.00"
37,2021-07-01,"$2,799,391,495.00","$268,126,230.00",9.60%,"$37,810,988.00"
38,2021-08-01,"$3,071,879,791.00","$224,622,673.00",7.30%,"$29,293,371.00"
39,2021-09-01,"$5,491,749,708.00","$450,808,836.00",8.20%,"$51,990,345.00"
40,2021-10-01,"$7,546,972,781.00","$448,627,693.00",5.90%,"$55,031,304.00"
41,2021-11-01,"$7,405,646,041.00","$725,367,326.00",9.80%,"$99,002,593.00"
42,2021-12-01,"$7,339,244,974.00","$381,002,482.00",5.20%,"$38,929,392.00"
43,2022-01-01,"$9,121,991,634.00","$578,456,672.00",6.30%,"$100,419,078.00"
44,2022-02-01,"$7,615,995,316.00","$372,188,722.00",4.90%,"$60,358,056.00"
45,2022-03-01,"$8,988,870,452.00","$602,408,920.00",6.70%,"$108,074,314.00"
46,2022-04-01,"$7,476,187,515.00","$527,189,281.00",7.10%,"$111,579,996.00"
47,2022-05-01,"$6,686,988,033.00","$610,261,607.00",9.10%,"$122,646,968.00"
48,2022-06-01,"$5,480,948,489.00","$334,079,739.00",6.10%,"$71,011,885.00"
49,2022-07-01,"$4,533,090,868.00","$407,128,610.00",9.00%,"$84,837,874.00"
50,2022-08-01,"$4,909,529,483.00","$526,908,745.00",10.70%,"$109,743,862.00"
51,2022-09-01,"$7,919,599,327.00","$934,400,945.00",11.80%,"$175,269,630.00"
52,2022-10-01,"$9,732,287,654.00","$843,130,409.00",8.70%,"$170,315,228.00"
53,2022-11-01,"$10,020,250,696.00","$800,107,859.00",8.00%,"$173,637,791.00"
54,2022-12-01,"$10,053,933,645.00","$954,897,119.00",9.50%,"$174,548,920.00"
55,2023-01-01,"$11,495,826,573.00","$1,060,627,961.00",9.20%,"$189,570,163.00"
56,2023-02-01,"$9,013,936,358.00","$709,218,779.00",7.90%,"$134,596,026.00"
57,2023-03-01,"$11,268,331,139.00","$1,080,076,723.00",9.60%,"$205,091,587.00"
58,2023-04-01,"$9,096,204,901.00","$853,618,698.00",9.40%,"$169,088,943.00"
59,2023-05-01,"$8,094,431,592.00","$913,403,414.00",11.30%,"$181,662,434.00"
60,2023-06-01,"$6,567,218,270.00","$543,450,122.00",8.30%,"$113,126,813.00"
61,2023-07-01,"$3,249,347,777.00","$355,087,386.00",10.90%,"$94,750,905.00"
