state,Total Population 2021,Males ,Males 18+,Females ,Females 18+,population total 18+
Alabama,"5,039,877","2,445,896","1,875,393","2,593,981","2,044,542",3919935
Alaska,"732,673","383,121","290,138","349,552","263,134",553272
Arizona,"7,276,316","3,629,620","2,806,606","3,646,696","2,855,426",5662032
Arkansas,"3,025,891","1,493,681","1,130,503","1,532,210","1,191,595",2322098
California,"39,237,836","19,618,934","15,126,455","19,618,902","15,341,602",30468057
Colorado,"5,812,069","2,943,037","2,306,499","2,869,032","2,263,623",4570122
Connecticut,"3,605,597","1,768,045","1,397,402","1,837,552","1,480,956",2878358
Delaware,"1,003,384","485,908","381,310","517,476","413,557",794867
District of Columbia,"670,050","319,025","255,085","351,025","289,236",544321
Florida,"21,781,128","10,714,520","8,517,071","11,066,608","8,976,234",17493305
Georgia,"10,799,566","5,270,144","3,973,864","5,529,422","4,303,578",8277442
Hawaii,"1,441,553","725,604","567,757","715,949","569,595",1137352
Idaho,"1,900,923","954,313","713,885","946,610","717,052",1430937
Illinois,"12,671,469","6,264,364","4,831,101","6,407,105","5,040,191",9871292
Indiana,"6,805,985","3,374,931","2,560,657","3,431,054","2,659,930",5220587
Iowa,"3,193,079","1,603,267","1,220,432","1,589,812","1,235,663",2456095
Kansas,"2,934,582","1,474,610","1,109,897","1,459,972","1,122,479",2232376
Kentucky,"4,509,394","2,229,328","1,709,041","2,280,066","1,784,898",3493939
Louisiana,"4,624,047","2,260,866","1,709,923","2,363,181","1,832,081",3542004
Maine,"1,372,247","673,483","546,431","698,764","576,141",1122572
Maryland,"6,165,129","3,003,091","2,307,141","3,162,038","2,497,891",4805032
Massachusetts,"6,984,723","3,408,252","2,712,542","3,576,471","2,910,241",5622783
Michigan,"10,050,811","4,976,869","3,876,284","5,073,942","4,022,590",7898874
Minnesota,"5,707,390","2,860,668","2,189,928","2,846,722","2,208,481",4398409
Mississippi,"2,949,965","1,435,423","1,078,182","1,514,542","1,179,898",2258080
Missouri,"6,168,187","3,045,181","2,332,846","3,123,006","2,451,804",4784650
Montana,"1,104,271","560,911","438,971","543,360","430,453",869424
Nebraska,"1,963,692","986,019","736,674","977,673","744,816",1481490
Nevada,"3,143,991","1,585,207","1,227,529","1,558,784","1,218,843",2446372
New Hampshire,"1,388,992","693,234","561,376","695,758","571,362",1132738
New Jersey,"9,267,130","4,563,560","3,527,707","4,703,570","3,718,547",7246254
New Mexico,"2,115,877","1,052,355","811,963","1,063,522","832,106",1644069
New York,"19,835,913","9,696,573","7,594,117","10,139,340","8,138,230",15732347
North Carolina,"10,551,162","5,149,323","3,973,696","5,401,839","4,277,720",8251416
North Dakota,"774,948","399,544","305,827","375,404","286,532",592359
Ohio,"11,780,017","5,808,575","4,474,420","5,971,442","4,702,187",9176607
Oklahoma,"3,986,639","1,984,707","1,490,820","2,001,932","1,537,881",3028701
Oregon,"4,246,155","2,121,532","1,676,388","2,124,623","1,711,101",3387489
Pennsylvania,"12,964,056","6,399,632","5,027,852","6,564,424","5,261,977",10289829
Rhode Island,"1,095,610","536,589","429,137","559,021","458,152",887289
South Carolina,"5,190,705","2,521,689","1,953,635","2,669,016","2,121,074",4074709
South Dakota,"895,376","451,950","339,358","443,426","335,397",674755
Tennessee,"6,975,218","3,413,181","2,629,428","3,562,037","2,808,175",5437603
Texas,"29,527,941","14,739,011","10,925,097","14,788,930","11,146,297",22071394
Utah,"3,337,975","1,694,770","1,204,293","1,643,205","1,188,225",2392518
Vermont,"645,570","320,293","260,066","325,277","268,737",528803
Virginia,"8,642,274","4,273,931","3,308,083","4,368,343","3,452,373",6760456
Washington,"7,738,692","3,897,320","3,038,786","3,841,372","3,024,124",6062910
West Virginia,"1,782,959","887,360","702,021","895,599","719,546",1421567
Wisconsin,"5,895,908","2,955,249","2,298,443","2,940,659","2,322,860",4621303
Wyoming,"578,803","296,007","228,117","282,796","219,157",447274
