state,online,in_person
Alabama Sports Betting,NO,NO
Alaska Sports Betting,NO,NO
Arizona Sports Betting,YES,YES
Arkansas Sports Betting,YES,YES
California Sports Betting,NO,NO
Colorado Sports Betting,YES,YES
Connecticut Sports Betting,YES,YES
Delaware Sports Betting,NO,YES
Florida Sports Betting,NO,NO
Georgia Sports Betting,NO,NO
Hawaii Sports Betting,NO,NO
Idaho Sports Betting,NO,NO
Illinois Sports Betting,YES,YES
Indiana Sports Betting,YES,YES
Iowa Sports Betting,YES,YES
Kansas Sports Betting,YES,YES
Kentucky Sports Betting,Pending,Pending
Louisiana Sports Betting,YES,YES
Maine Sports Betting,Pending,Pending
Maryland Sports Betting,YES,YES
Massachusetts Sports Betting,YES,YES
Michigan Sports Betting,YES,YES
Minnesota Sports Betting,NO,NO
Mississippi Sports Betting,NO,YES
Missouri Sports Betting,NO,NO
Montana Sports Betting,NO,YES
Nebraska Sports Betting,NO,Pending
Nevada Sports Betting,YES,YES
New Hampshire Sports Betting,YES,YES
New Jersey Sports Betting,YES,YES
New Mexico,NO,YES
New York Sports Betting,YES,YES
North Carolina Sports Betting,NO,YES
North Dakota Sports Betting,NO,YES
Ohio Sports Betting,YES,YES
Oklahoma Sports Betting,NO,NO
Oregon Sports Betting,YES,YES
Pennsylvania Sports Betting,YES,YES
Rhode Island Sports Betting,YES,YES
South Carolina Sports Betting,NO,NO
South Dakota Sports Betting,NO,YES
Tennessee Sports Betting,YES,NO
Texas Sports Betting,NO,NO
Utah Sports Betting,NO,NO
Vermont Sports Betting,Pending,NO
Virginia Sports Betting,YES,YES
Washington State Sports Betting,NO,YES
"Washington, D.C. Sports Betting",YES,YES
West Virginia Sports Betting,YES,YES
Wisconsin Sports Betting,NO,YES
Wyoming Sports Betting,YES,NO
